name,website,city,industry,employees,short_description,tags,founded,linkedin,product_leader,opportunity
Epro,http://www.epro.com,Bristol,information technology & services,28,,"digital dictation, clinical software, interoperability, clinical workflow, clinical safety, ai powered summaries",2001,http://www.linkedin.com/company/epro_health,None found in Apollo,🎯 Target — no product leader found
Sotic,,Cardiff,information technology & services,28,,"website development, sports industry, newsletter solutions, crm, websites for the sports industry, social media management & integration",2002,http://www.linkedin.com/company/sotic,None found in Apollo,🎯 Target — no product leader found
Martello,http://www.martello.app,Bristol,information technology & services,27,,"topography, software, searches, instant site assessment, proptech, site assessment",2020,http://www.linkedin.com/company/martello-uk-uk,None found in Apollo,🎯 Target — no product leader found
Pinnacle Complete Office Solutions,http://www.pinnaclecos.co.uk,Cardiff,management consulting,27,,"print auduting, mono colour copyprintscan systems for smes to plcs, managed services, centralised print systems, managed print services, software design",1989,http://www.linkedin.com/company/pinnacle-office-equipment,None found in Apollo,🎯 Target — no product leader found
People Source Consulting trading as Experis,http://www.peoplesource.co.uk,Bristol,staffing & recruiting,26,,"technology, telecommunications, ehealthcare, consultancy, it engineering, business intelligence",2002,http://www.linkedin.com/company/people-source-consulting,None found in Apollo,🎯 Target — no product leader found
TITAN PMR,http://www.titanpmr.com,Bristol,pharmaceuticals,26,,"technology, it, healthcare, pharmacy, pharmaceutical manufacturing, artificial intelligence",2015,http://www.linkedin.com/company/titanpmr,None found in Apollo,🎯 Target — no product leader found
Procorre,http://www.procorre.com,Bristol,management consulting,26,,"professional services consultancy, project services, project management, human capital management, consultants, contractors",2007,http://www.linkedin.com/company/procorre,None found in Apollo,🎯 Target — no product leader found
Renewable Exchange,http://www.renewable.exchange,Bristol,renewables & environment,26,,"feed in tariff, renewable obligation certificates, renewable obligation, regos, renewable generation, renewable energy certificate brokering",2016,http://www.linkedin.com/company/renewable-exchange,None found in Apollo,🎯 Target — no product leader found
Voices From Care Cymru,http://www.voicesfromcarecymru.org.uk,Cardiff,nonprofit organization management,26,,"full stack developer, screen grab tool, computer systems design and related services, web development, sql, collaborative team",1990,http://www.linkedin.com/company/voices-from-care,None found in Apollo,🎯 Target — no product leader found
Beam,http://www.beam.global,Bristol,renewables & environment,25,,"rov service provision, subsea engineering, inspection, oil, gas, artificial intelligence",2016,http://www.linkedin.com/company/welcometobeam,None found in Apollo,🎯 Target — no product leader found
Hybr,http://www.hybr.co.uk,Bristol,real estate,25,,"student housing, property in london, property in bristol, pbsa, student accommodation, landlord portfolio management",2019,http://www.linkedin.com/company/hybrnate,None found in Apollo,🎯 Target — no product leader found
Cogito,http://www.cogitotalent.com,Bristol,human resources,24,,"recruitment outsource, workforce analytics, employer brand, human resources, surveys, recruitment",2014,http://www.linkedin.com/company/cogito-talent,None found in Apollo,🎯 Target — no product leader found
SEIMAF UK,http://www.seimaf.com,Bristol,information technology & services,24,,"engineering, mechanical engineering, nuclear, civil engineering, energy, industrial",1994,http://www.linkedin.com/company/seimaf-uk-part-of-capgemini,None found in Apollo,🎯 Target — no product leader found
Net Consulting,http://www.netconsulting.co.uk,Cardiff,information technology & services,24,,"network performance management, application performance management, cyber security, network capacity planning, penetration testing, information security management",2006,http://www.linkedin.com/company/netconsultingltd,None found in Apollo,🎯 Target — no product leader found
Clekt,http://www.clekt.co.uk,Bristol,information technology & services,23,,"solutions, sme, data strategy, real estate, machine learning, technology",2020,http://www.linkedin.com/company/clekt-data,None found in Apollo,🎯 Target — no product leader found
ITSUS Consulting,http://www.itsusconsulting.com,Cardiff,telecommunications,23,,"b2b, information technology and services, digital transformation programmes, bespoke security solutions, cloud services, sdn security",2008,http://www.linkedin.com/company/itsus-consulting-limited,None found in Apollo,🎯 Target — no product leader found
Codiance,http://www.codiance.com,Cardiff,information technology & services,23,,"platforms, crm, machine learning, mobile apps, enterprise solutions, cms",2010,http://www.linkedin.com/company/codiance,None found in Apollo,🎯 Target — no product leader found
IE Hub,http://www.iehub.co.uk,Cardiff,information technology & services,23,,"personal data management, regtech, income expense, sfs, collections, fca affordability",2018,http://www.linkedin.com/company/iehub,None found in Apollo,🎯 Target — no product leader found
Atamate Building Intelligence,http://www.atamate.com,Cardiff,construction,23,,"home automation, building automation, building management system, building software, building information modelling, nonresidential building construction",2012,http://www.linkedin.com/company/atamate,None found in Apollo,🎯 Target — no product leader found
Perceptual Robotics,http://www.perceptual-robotics.com,Bristol,machinery,22,,"system integration, machine learning, computer vision, wind turbines, unmanned aerial vehicles, inspections",2016,http://www.linkedin.com/company/perceptual-robotics,None found in Apollo,🎯 Target — no product leader found
saintnicks,http://www.saintnicks.uk.com,Bristol,marketing & advertising,22,,"employer branding, uxui, ecrm, campaign management, social media marketing, brand strategy",2012,http://www.linkedin.com/company/saintnicks,None found in Apollo,🎯 Target — no product leader found
Intelligent Ultrasound,http://www.intelligentultrasound.com,Rhoose,medical devices,22,,"ultrasound, medical simulation, ultrasound education, clinical education, professional development, medical imaging",2004,http://www.linkedin.com/company/intelligentultrasound,None found in Apollo,🎯 Target — no product leader found
LettUs Grow,http://www.lettusgrow.com,Bristol,farming,21,,"food tech, vertical farming, farming software, indoor agriculture, sustainable farming, farming",2015,http://www.linkedin.com/company/lettus-grow,None found in Apollo,🎯 Target — no product leader found
Reach Industries,http://www.reach.industries,Bristol,information technology & services,21,,"software development, robotics, visual ai copilot, laboratory automation, scientific research and development, ai tools",2020,http://www.linkedin.com/company/reachindustries,None found in Apollo,🎯 Target — no product leader found
FinTech Wales,http://www.fintechwales.org,Cardiff,financial services,21,,"fintech, ecosystem collaboration, fintech policy, fintech talent pipelines in wales, business growth support, services",2019,http://www.linkedin.com/company/fintech-wales,None found in Apollo,🎯 Target — no product leader found
Berkeley Square - Talent Specialists in IT & Engineering,http://www.bsqtalent.com,Bristol,information technology & services,20,,"subsea controls, platform network architecture, it amp operational risk, devops, user expereince, software asset management",2004,http://www.linkedin.com/company/bsqtalent,None found in Apollo,🎯 Target — no product leader found
DMWF,http://www.digitalmarketing-conference.com,Bristol,events services,20,,"community management, marketing and advertising, marketing solutions, marketing strategy, influencer marketing, conference series",2012,http://www.linkedin.com/company/dmwf,None found in Apollo,🎯 Target — no product leader found
5V Video,http://www.weare5vvideo.com,London,staffing & recruiting,20,,"tv, iptv, software, rdk, broadcast technology, streaming platforms",2022,http://www.linkedin.com/company/5vvideo,None found in Apollo,🎯 Target — no product leader found
Agile Applications Limited,http://www.agileapplications.co.uk,Bristol,information technology & services,20,,"microsoft azure, waste management, mobile apps, smart apps, public protection, collaboration",2010,http://www.linkedin.com/company/agile-applications-limited,None found in Apollo,🎯 Target — no product leader found
Pemari - A Division of Rego Consulting,http://www.pemari.com,Cardiff,information technology & services,20,,"crystal reports, business objects, sql server, clarity, clarity ppm, pmo",2007,http://www.linkedin.com/company/pemari-consulting,None found in Apollo,🎯 Target — no product leader found
Media Cymru,http://www.media.cymru,Cardiff,information technology & services,20,,"technology, information & media, media skills for future, virtual production, media & entertainment, media diversity initiatives, content creation",2022,http://www.linkedin.com/company/mediacymru,None found in Apollo,🎯 Target — no product leader found
Concentric Health,http://www.concentric.health,Cardiff,hospital & health care,20,,"clinical decision support, surgery, medicine, clinical informatics, shared decision making, consent",2017,http://www.linkedin.com/company/concentrichealth,None found in Apollo,🎯 Target — no product leader found
WCS Agency,http://www.wcs.agency,Rhoose,marketing & advertising,20,,"content marketing, paid social, copywriting, ppc, b2b, web design",2018,http://www.linkedin.com/company/wcsagency,None found in Apollo,🎯 Target — no product leader found
b2b IT Services,http://www.b2bitservices.co.uk,Cardiff,information technology & services,20,,"backups, it hardware, it support, it infrastructure, virtualisation, installs",2004,http://www.linkedin.com/company/b2b-it-services,None found in Apollo,🎯 Target — no product leader found
PharmacyX,http://www.pharmacyx.com,Cardiff,information technology & services,19,,"it services & it consulting, jit stock management, robotic pharmacy integration, customer engagement, pharmacy automation, stripe payments",,http://www.linkedin.com/company/pharmacyx,None found in Apollo,🎯 Target — no product leader found
Folk,http://www.thefolkgroup.co.uk,Cardiff,marketing & advertising,19,,"content marketing, social media strategy, storytelling, technology, content creation, content strategy",2022,http://www.linkedin.com/company/thefolkgrp,None found in Apollo,🎯 Target — no product leader found
Revoco,http://www.revoco-talent.co.uk,Bristol,staffing & recruiting,18,,"talent acquisition, talent management, rpo, outsourcing, tech recruitment, employer value proposition",2017,http://www.linkedin.com/company/revoco,None found in Apollo,🎯 Target — no product leader found
Your Apartment,http://www.yourapartment.com,Bristol,hospitality,18,,"relocation services, business travel, shortterm lets, luxury travel, serviced apartments, property management",2017,http://www.linkedin.com/company/your-apartment-uk,None found in Apollo,🎯 Target — no product leader found
SmallSpark,http://www.smallspark.space,Cardiff,information technology & services,18,,"machine learning, spacecraft computers, autonomy, artificial intelligence, data processing, image processing",2020,http://www.linkedin.com/company/smallspark,None found in Apollo,🎯 Target — no product leader found
iCoTech Services,http://www.icotechservices.co.uk,Rhoose,information technology & services,18,,"o365, power bi, risk management, project online implementation partner, p3m maturity assessment, risk intelligence",2018,http://www.linkedin.com/company/icotech-services,None found in Apollo,🎯 Target — no product leader found
FitPro Lead Generation,http://www.fitproleadgen.com,Cardiff,marketing & advertising,18,,"advertising services, targeted advertising, done-for-you marketing system, real results for gyms & studios, affiliate marketing, tailored marketing campaigns",,http://www.linkedin.com/company/fitpro-web-design,None found in Apollo,🎯 Target — no product leader found
Cyber Innovation Hub,http://www.cyberinnovationhub.wales,Cardiff,computer & network security,18,,"cyber skills talent development, cyber industry ecosystem, cyber defence labs, cyber threat assessment, cyber industry ecosystem development, cyber skills certifications",,http://www.linkedin.com/company/cyber-innovation-hub-wales,None found in Apollo,🎯 Target — no product leader found
CellVoyant,http://www.cellvoyant.com,Bristol,biotechnology,17,,"software engineering, life sciences, predictive analytics for cell fate, b2b, industrialize cell science, healthcare",2021,http://www.linkedin.com/company/cellvoyant,None found in Apollo,🎯 Target — no product leader found
4EI,http://www.4earthintelligence.com,Bristol,information technology & services,17,,"artificial intelligence, remote sensing technologies, climate change monitoring, natural capital, earth data management, remote sensing",2019,http://www.linkedin.com/company/4-earth-intelligence,None found in Apollo,🎯 Target — no product leader found
soVision IT,http://www.sovisionit.com,Bristol,information technology & services,17,,"network installation & support, isp, bespoke software development, graphics & website design, virtualisation, managed it services",1999,http://www.linkedin.com/company/sovisionit,None found in Apollo,🎯 Target — no product leader found
HRZone,http://www.hrzone.com,Bristol,human resources,17,,"human resources services, hr community thought leadership, digital magazine, workplace wellbeing programs, hr community platform, employee engagement tools",2000,http://www.linkedin.com/company/hrzone,None found in Apollo,🎯 Target — no product leader found
IntaPeople: STEM Recruitment,http://www.intapeople.com,Cardiff,staffing & recruiting,17,,"development, net developer jobs, procurement & supply chain, stem recruitment, cyber security, senior appointments",1994,http://www.linkedin.com/company/intapeople,None found in Apollo,🎯 Target — no product leader found
FanHub,http://www.fan-hub.com,Bristol,information technology & services,16,,"digital media, big data analytics, machine learning, advertising platforms, advertising, enterprise software",2018,http://www.linkedin.com/company/fanhubapp,None found in Apollo,🎯 Target — no product leader found
Illumo Digital,http://www.illumo.digital,Bristol,information technology & services,16,,"erp systems, software consultancy, infrastructure management, digital strategy, web development, digital transformation",2004,http://www.linkedin.com/company/illumodigital,None found in Apollo,🎯 Target — no product leader found
techSPARK uk,http://www.techspark.co,Bristol,information technology & services,16,,"technology, innovation, events, startups, tech, womenintech",2014,http://www.linkedin.com/company/techspark-uk,None found in Apollo,🎯 Target — no product leader found
datalyse,http://www.datalyse.io,Cardiff,information technology & services,16,,"technology, digital transformation, marketing, contact centre, call centre, cloud crm",2018,http://www.linkedin.com/company/datalyse,None found in Apollo,🎯 Target — no product leader found
LaennecAI,http://www.laennec.ai,Cardiff,medical devices,16,,"medical equipment manufacturing, ai sensor integration, virtual healthcare, ai medical device, digital auscultation, personal health management",2022,http://www.linkedin.com/company/laennecai,None found in Apollo,🎯 Target — no product leader found
CLARIUS,http://www.clarius.io,Bristol,information technology & services,15,,"operations, customer intelligence, retail, pesonal finance, business change, digital transformation",2015,http://www.linkedin.com/company/clarius-solutions,None found in Apollo,🎯 Target — no product leader found
Cirrus Software Solutions,http://www.cirrussoftwaresolutions.com,Bristol,information technology & services,15,,"agile delivery, software engineering, software delivery, software development, aws, azure",,http://www.linkedin.com/company/cirrussoftwaresolutions,None found in Apollo,🎯 Target — no product leader found
MeasureMinds Group,http://www.measuremindsgroup.com,Bristol,marketing & advertising,15,,"conversion rate optimisation, seo, google tag manager, google analytics, ppc, advertising services",2020,http://www.linkedin.com/company/measureminds,None found in Apollo,🎯 Target — no product leader found
CCSW Ltd,http://www.ccsw.co.uk,Cardiff,information technology & services,15,,"cloud offsite backup, cyber essentials, system development, cyber security, server specialist, disaster recovery",1997,http://www.linkedin.com/company/ccsw,None found in Apollo,🎯 Target — no product leader found
Ubiquity Group,http://www.ubiquitygroup.co.uk,Cardiff,marketing & advertising,15,,"communication, linkedin advertising, digital, design, website development, twitter advertising",2005,http://www.linkedin.com/company/ubiquitygroup,None found in Apollo,🎯 Target — no product leader found
FinTech West,http://www.fintechwest.co.uk,Bristol,financial services,14,,"industry networking, fintech partnerships, blockchain, fintech policy, fintech education, computer systems design and related services",2018,http://www.linkedin.com/company/fintech-west,None found in Apollo,🎯 Target — no product leader found
Loopin,http://www.letsloopin.com,Bristol,information technology & services,14,,"coaching, wellness, wellbeing, wellbeing resources, effective leadership tools, employee engagement",2020,http://www.linkedin.com/company/lets-loopin,None found in Apollo,🎯 Target — no product leader found
Method Resourcing,http://www.methodresourcing.co.uk,Bristol,staffing & recruiting,14,,"recruitment, resourcing, it recruitment, business change recruitment, talent acquisition, data",2018,http://www.linkedin.com/company/method-resourcing,None found in Apollo,🎯 Target — no product leader found
Cadence Resourcing,http://www.cadenceresourcing.com,Bristol,staffing & recruiting,14,,"it strategy architecture, it infrastructure, risk amp compliance, business intelligence amp analystics, risk compliance, business intelligence analystics",2007,http://www.linkedin.com/company/cadence-resourcing,None found in Apollo,🎯 Target — no product leader found
Hope Macy,http://www.hopemacy.com,Cardiff,financial services,14,,"credit decision automation, loan management, consumer lending, data categorization, payment solutions, loan origination",2018,http://www.linkedin.com/company/usehopemacy,None found in Apollo,🎯 Target — no product leader found
Simtec,http://www.simtecconsult.com,Cardiff,information technology & services,14,,"earthworks, data solutions, environmental, saas, laboratories, seo",2021,http://www.linkedin.com/company/simtec-software,None found in Apollo,🎯 Target — no product leader found
Void Studio,http://www.voidstudiotech.com,Cardiff,information technology & services,14,,"crossplatform applications, web applications, mobile applications, reactjs, progressive web apps, solidity",2022,http://www.linkedin.com/company/void-studio-tech,None found in Apollo,🎯 Target — no product leader found
Illustrate Digital,http://www.illustrate.digital,Cardiff,information technology & services,14,,"ux design, website development, wordpress, woocommerce, website design, user research",2013,http://www.linkedin.com/company/illustrate-digital,None found in Apollo,🎯 Target — no product leader found
iQuila,http://www.iquila.com,Cardiff,information services,14,,"layer2, software design, network security, vpn, sase, connectivity",2019,http://www.linkedin.com/company/iquila,None found in Apollo,🎯 Target — no product leader found
Balance - The Financial Services Digital Marketing Agency,http://www.thebalanceagency.com,Cardiff,marketing & advertising,14,,"marketing services, paid search, content upcycling, community management, services, market analysis",2023,http://www.linkedin.com/company/thebalanceagency,None found in Apollo,🎯 Target — no product leader found
Fortice,http://www.fortice.co.uk,Bristol,staffing & recruiting,13,,"dv cleared recruitment, defence security, intelligence recruitment, security & resilience recruitment, big data & analytics recruitment, financial services recruitment",2006,http://www.linkedin.com/company/forticeuk,None found in Apollo,🎯 Target — no product leader found
Meritus,http://www.meritustalent.com,Cardiff,staffing & recruiting,13,,"contract recruitment, defence recruitment, space recruitment, aerospace recruitment, technology recruitment, b2b",2024,http://www.linkedin.com/company/meritustalent,None found in Apollo,🎯 Target — no product leader found
OptimiseAI,http://www.optimise-ai.com,Cardiff,information services,13,,"data management, cost savings analysis, energy benchmarking, ai-driven insights, machine learning, carbon reduction",2023,http://www.linkedin.com/company/optimise-ai,None found in Apollo,🎯 Target — no product leader found
R4 Advertising,http://www.r4advertising.agency,Rhoose,marketing & advertising,13,,"media buying planning, videography, creative design, branding, communication strategy execution, media planning & media buying",2022,http://www.linkedin.com/company/r4advertising,None found in Apollo,🎯 Target — no product leader found
Wales Interactive,http://www.walesinteractive.com,Cardiff,computer games,13,,"consultation, mentoring, finance, film, development, game",2011,http://www.linkedin.com/company/wales-interactive,None found in Apollo,🎯 Target — no product leader found
Navos Technologies,http://www.navos.co.uk,Bristol,information technology & services,12,,"business resilience, software solutions, cto as a service, digital transformation, it support, cloud computing",2020,http://www.linkedin.com/company/navosuk,None found in Apollo,🎯 Target — no product leader found
WeDoData,http://www.wedodata.co.uk,Bristol,staffing & recruiting,12,,"recruitment, business intelligence, data analytics, it recruitment, data insight, developers",2016,http://www.linkedin.com/company/wedodata1,None found in Apollo,🎯 Target — no product leader found
MDS Technologies Ltd,http://www.mdstechnologies.co.uk,Bristol,information technology & services,12,,"cloud computing, gcloud, colocation, hosting, disaster recovery, managed",2002,http://www.linkedin.com/company/mds-technologies-ltd,None found in Apollo,🎯 Target — no product leader found
Bristol Centre for Supercomputing (BriCS),,Bristol,research,12,,"hpc, ai, supercomputing, artificial intelligence, high performance computing, research services",2024,http://www.linkedin.com/company/brics-uob,None found in Apollo,🎯 Target — no product leader found
Rethink Technology Research,http://www.rethinkresearch.biz,Bristol,management consulting,12,,"lpwan, video, automotive, ott, renewables, offshore wind",2002,http://www.linkedin.com/company/rethink-technology-research,None found in Apollo,🎯 Target — no product leader found
Selligence,http://www.selligence.com,Cardiff,information technology & services,12,,"sales intelligence, predictive analytics, ai for businesses, marketing operations solutions, big data, business development",2021,http://www.linkedin.com/company/selligence,None found in Apollo,🎯 Target — no product leader found
Technology Connected,http://www.technologyconnected.net,Cardiff,nonprofit organization management,12,,"provide insight & knowledge into the electronic & software technologies industry in wales, create business opportunities for our members, develop the talent pool of people for the industry, ensure that member voices are heard within government, non-profit organizations, emerging tech wales",,http://www.linkedin.com/company/technology-connected,None found in Apollo,🎯 Target — no product leader found
Driverly,http://www.driverly.ai,Cardiff,insurance,12,,"ai-powered insurance intelligence, risk assessment, insurance underwriting, driving risk map, consulting, insurtech",2021,http://www.linkedin.com/company/driverly,None found in Apollo,🎯 Target — no product leader found
Condense,http://www.condense.live,Bristol,information technology & services,11,,"software development, real-time 3d content, virtual live events, neural network encoding, metaverse live events, cloud infrastructure",2019,http://www.linkedin.com/company/condenselive,None found in Apollo,🎯 Target — no product leader found
AI Advanced Solutions,http://www.aiadvancedsolutions.com,Rhoose,information technology & services,11,,"fraud prevention, custom ai solutions, deeptech api development, cloud migrations, ai agent development, tech stack scalability upgrades",,http://www.linkedin.com/company/aiadvancedsolutions,None found in Apollo,🎯 Target — no product leader found
Pervade Software,http://www.pervade-software.com,Cardiff,information technology & services,11,,"nis directive, log management, availability monitoring, soc, cyber essentials, gdpr",2009,http://www.linkedin.com/company/pervade-software,None found in Apollo,🎯 Target — no product leader found
Wagonex.io,http://www.wagonex.io,Rhoose,automotive,11,,"automotive, insurtech, technology, subscription, insurance, membership",2016,http://www.linkedin.com/company/wagonex,None found in Apollo,🎯 Target — no product leader found
Burbank Software,http://www.burbankdev.co.uk,Cardiff,information technology & services,11,,"pin services, mobile solutions, pci cpoc, auth solutions, issuer solutions, software development",2021,http://www.linkedin.com/company/burbank-dev,None found in Apollo,🎯 Target — no product leader found
BookingLive,http://www.bookinglive.com,Cardiff,information technology & services,11,,"emarketing, adventure booking system, appointment system, micro buisness, enterprise, enterprise system",2014,http://www.linkedin.com/company/bookinglive,None found in Apollo,🎯 Target — no product leader found
Intelligent IT,http://www.i-itsolutions.com,Cardiff,information technology & services,11,,"managed services, antivirus & web security, consultancy, hosted desktops, it support, it outsourcing",2005,http://www.linkedin.com/company/intelligent-it-solutions,None found in Apollo,🎯 Target — no product leader found
Jellyfish Business Solutions,http://www.jellyfish.solutions,Cardiff,information technology & services,11,,"it services & it consulting, telecommunications, audio visual, cloud backup, project management, audio visual equipment and services",,http://www.linkedin.com/company/jellyfish-business-solutions,None found in Apollo,🎯 Target — no product leader found
EBC Global,http://www.ebcglobal.co.uk,Cardiff,information technology & services,10,,"software solutions, solutions for nhscare, screening, social media screening, global watchlists, software",2017,http://www.linkedin.com/company/ebc-global,None found in Apollo,🎯 Target — no product leader found
AI & Big Data Expo,http://www.ai-expo.net,Bristol,events services,1,,"machine learning, chatbots, business intelligence, ai development, automation, rpa",,http://www.linkedin.com/company/ai-world-series,None found in Apollo,🎯 Target — no product leader found
